The Reef - Main St. location	Breakfast, Lunch, Dinner, Drinks	4172 Main Street	Great Caribbean restaurant! They have excellent jerk chicken, roti, johnny cakes, etc., and a surprisingly impressive cocktail list. Honestly, I think they have more drink options than food choices. Great brunches, too, especially if you can get a seat on the patio (both locations are prime for people-watching). 
The Reef - Commercial Dr. location	Breakfast, Lunch, Dinner, Drinks	1018 Commercial Drive	Great Caribbean restaurant! They have excellent jerk chicken, roti, johnny cakes, etc., and a surprisingly impressive cocktail list. Honestly, I think they have more drink options than food choices. Great brunches, too, especially if you can get a seat on the patio (both locations are prime for people-watching). 
Prado	Coffee, Snacks	1938 Commercial Drive	Stark, white -- basically looks like the inside of a Mac computer....so it should come as no surprise to be greeted by a little glowing apple on every table. The coffee's really good, though, so if you can't handle all the Macbook-clacking, just get it to go and wander to a park. 
JJ Bean	Coffee, Snacks	1904 Powell Street	There are actually about a million JJ Beans in Vancouver, all with great coffee, but this is the only one I -really- like, maybe because it's a couple blocks from my old apartment. It's also just more relaxed and quiet than the others. It's also got a very comfy, very worn in couch. It's also the only location where you can watch them roast the beans (fascinating!).
Joe's Café	Coffee	1150 Commercial Drive	Good place to drink Italian coffee and get cat called. There are a bunch of other great Italian coffee shops in this neighbourhood, but this is the one I went to the most for whatever reason.
Patisserie Lebeau	Coffee, Snacks	1728 West 2nd Ave	This was my favourite place to stop for a morning coffee/snack when I worked around here. They specialize in WAFFLES! Sweet waffles, savoury waffles, custard-filled waffles, waffle sandwiches, waffles beyond your wildest dreams! Their non-waffle pastries are exceptional, too. Can not recommend highly enough, if you're ever around 4th Ave or Granville Island.
Medina Café	Breakfast, Lunch, Coffee, Snacks	556 Beatty Street	This is truly a hidden gem in a bleak-ish area of downtown Vancouver. The space is really beautiful, the coffee's great, and the food is, well, really special. You can sit in the cafe for a coffee and a waffle, or you can eat in the restaurant space out back. Both experiences are highly recommended. Pretty sure brunch is only on weekends.
The Irish Heather	Dinner, Drinks, Open late	212 Carrall Street	So, get this: it's an Irish pub, right, but it isn't entirely populated by idiots. And the food is actually great (Guinness braised beef pot pie is a favourite). This is a pleasant spot for a pint and a snack, though it's extremely busy on seemingly arbitrary nights, so proceed with caution. 
Shebeen Whiskey House	Dinner, Drinks, Open late	212 Carrall Street	Wonderful, cozy whiskey bar with an insane selection. They share a building and a kitchen with The Irish Heather (so if whiskey's not your thing...go there instead!). The staff here really know your stuff, so you'll probably end up trying something you've never had (or heard of) before. Mmm.
Salt	Snacks, Drinks, Open late	45 Blood Alley	Not the easiest place to find: it's located in an alley, and they only signage is a salt shaker. All they have here is charcuterie, cheese, bread, wine and port -- I know this SOUNDS a bit intimidating, but it's not upscale or overpriced at all, trust me. The staff are really helpful, knowledgeable, and enthusiastic, too, which really adds to the experience. Highly, highly, highly recommend. 
Six Acres	Dinner, Snacks, Drinks, Open late	203 Carrall Street	This place is always a very solid bet for a drink and a bite, though it gets pretty busy on weekends. It's a really pleasant space, they have a HUGE selection of imported beers, they make a mean whiskey sour, and their (ever-changing) food menu is reliably tasty. 
Narrow Lounge	Dinner, Snacks, Drinks, Open late	1898 Main St	Aptly named! It's a tiny, narrow, narrow, narrow space, so it can sometimes be a bit tricky to get a table. Look for the red light -- I don't think there's a sign. They have a really impressive drink list and great comfort food/snacks, and every time I go there, I feel I've stumbled on a magical hidden treasure.
The Brickhouse	Drinks, Open late	730 Main Street	The old standby. Feels like someone's parents' 1970s basement: ugly mismatched couches, board games, weird paperback novels, fish tanks, and a cranky owner wearing bicycle shorts. Best to avoid the beer on tap (hangover city) -- I stick to bottles or whatever the whiskey special is. You can usually enter through the front door, but sometimes you have to knock on the back door in the Extremely Sketchy Alley. 
The Alibi Room	Dinner, Snacks, Drinks, Open late	157 Alexander Street	Good selection of local beer, tasty (if slightly pricey) food. The vibe here can sometimes be somewhere between hip and douchebaggy: better to go on a weeknight, when it's a bit more relaxed. Worth checking out, though, despite the sketchy location. 
Portuguese Club of Vancouver	Dinner, Drinks	1144 Commercial Drive	Looks unwelcoming from the outside, but great once you get in there. I've never eaten dinner here, but I know it's an option, and who knows?, maybe it's good. I can definitely promise drinks, though, not to mention the Portuguese guys trying to steal away any females from your table. Doesn't that sound great? It's great.
Montmartre Cafe	Dinner, Snacks, Drinks	4362 Main Street	Little French style (or, more accurately, French -themed-) cafe, great for a crepe and a glass of wine. Your waitress (the proprietor) will probably be wearing a beret. They occasionally have terrible open mic or jazz shows, but if you can avoid those, the atmosphere is quiet and enjoyable.
Macleod's	Used Books	455 Pender Street West	All the other used bookstore owners in town absolutely hate this place, but I think this has more to do with the owner than the store itself. It's enormous, chaotic, and most likely has whatever it is you're looking for. A bit overpriced, though -- I suspect they keep up their customer base by hiring only super cute nerd girls.
Pulp Fiction	Used Books	2422 Main Street	They usually have a pretty good selection, though they somewhat confusingly have separate sections for "literature" and (mostly Penguin paperback) "classics." Fairly reasonable prices, owned by nice peeps.
Albion Books	Used Books	523 Richards Street	Basically right across the street from Macleod's -- I'd check here first, as the prices are usually a bit better and I don't think this store is exactly thriving (hmm....coincidence?). 
Bibliophile	Used Books	2010 Commercial Drive	Not a HUGE selection, but the prices are reasonable, the owner is nice, and the cat is cute. Worth browsing if you're in the neighbourhood.
Wet Wizard Books	Used Books	248 East Broadway	Try to overlook the name. No one seems to know about this place and it's super cheap. Right around the corner from Pulp Fiction.
The Block	Clothing	350 West Cordova Street	Most reliably nice clothes in town -- the buyer has a discerning eye that I really trust. Bit pricey, though. Helpful, charming, and cute sales girls. I miss this store so much.
Gravity Pope	Shoes, Clothing	2205 West 4th Avenue	The Best Shoe Store In Town. Hands down. Occasionally a bit too "funky," often much, much too expensive, they're still the first stop on any well thought out shoe quest. There's a "Gravity Pope" clothing store right next door, too, which is generally worth a look.
Mintage	Clothing	1714 Commercial Drive	Decent vintage store, with a slightly weird (and occasionally unfortunate) selection of new/locally made/cheap clothes as well. Last I heard, they were going out of business, but through some sort of magic they still seem to be around. For now.
True Value Vintage	Clothing	710 Robson Street	Unfortunately, the vintage clothes here lean overwhelmingly toward the rock t-shirt/Hawaiian print side of things, but they also generally have a few hidden gems. The store is HUGE and they get some genuinely great stuff. 
Eugene Choo	Clothing	3683 Main Street	Reliably nice clothing with a focus on local design. The clothes here can be a bit expensive, but they generally stock the well made, classic kinds of pieces that you can justify dropping some coin on.
Front & Company	Clothing	3772 Main Street	Big consignment shop, spanning three storefronts. I think they have a tiny men's section, but I've never known a guy to have a sweet find here. Sooo, this recommendation is Ladies Only. Right before I left town, a huge portion of the building was lost to a fire, but they should probably be up and running again by now. Surely! 
Lark	Clothing	2315 Main Street	A very well curated clothing shop: some local, some imports, mostly chosen with tailoring in mind. Healthy sized men's section, nice, helpful employees. The space is really beautiful, too -- worth checking out just for that!
Deluxe Junk Co	Clothing	310 West Cordova Street	Big, long established consignment store. Feels not unlike a teen bedroom. Can be a bit hit or miss, but it's fun to sort through. They're the kind of place that has a huge selection of evening gloves, rhinestone jewelry, and funny old hats. You know?
New  Brighton Park	Park, Swimming	N Windermere St	Great park for picnicking! Outdoor pool, right on the water, view of the North Shore, usually full of families (rather than young rowdies).
Maclean Park	Park	Heatley & Keefer	 
Crab Park	Park	101 E Waterfront Rd	Nice, hidden park, right on the water. Good for drinkin' outside!
Third Beach	Swimming	Stanley Park	 
Ping's Café	Dinner	2702 Main Street	Japanese style western comfort food.
Foundation	Lunch, Dinner	2301 Main Street,	 
Soma	Coffee, Snacks, Dinner, Drinks	151 East 8th Avenue	 
Gene	Coffee, Snacks	2404 Main Street	 
La Piazza Dario	Lunch, Dinner	3075 Slocan Street	 
Duthie Books	Books	2239 4th Ave W	 
